genus,species,catalog_number,field_number,specimen,weight(g),sl(mm),body_width,caudal_peduncle_width,hanging_photos,lateral_photos,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,7,46.7,144.77,18.57,3.79,,Img0036,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,8,44.2,139.21,16.92,3.48,,Img0037,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,9,37.3,134.46,15.5,3.42,,Img0038,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,10,40.8,135.91,17.6,3.42,,Img0039,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,11,40.1,138.67,17.63,3.22,,Img0040,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,12,62.7,158.89,20.22,4.24,,Img0041,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,13,30.2,122.26,16.87,3.19,,Img0042,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,14,31.7,123.1,17.8,3.29,,Img0044,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,15,43,139.26,18.82,3.36,,Img0045,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,16,50.8,145.98,18.96,4.05,,Img0046,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,17,36.6,132.42,16.85,3.05,,Img0047,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,18,31.7,129.36,16.81,3.58,,Img0048,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,19,44.5,142.8,18.13,3.09,,Img0049,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,20,46.1,144.43,18.76,3.47,,Img0050,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,21,32.2,128.18,15.69,3.09,,Img0052,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,22,46.3,138.39,18.01,3.64,,Img0053,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,23,52.4,145.09,18.48,3.56,,Img0054,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,24,35.9,134.14,16.88,3.11,,Img0055,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,25,47,145.61,17.92,3.6,,Img0056,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,26,56.6,156.89,17.11,4.05,,Img0057,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,27,52.4,153.89,17.72,3.9,,Img0058,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,28,47.8,152.12,17.71,3.91,,Img0059,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,29,52.5,149.45,17.51,3.93,,Img0060,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,30,45,138.81,17.39,3.73,,Img0061,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,31,41.4,141.64,18.52,3.77,,Img0062,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,32,39.3,138.05,17.17,3.04,,Img0063,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,33,25.5,116.91,15.98,3.24,,Img0064,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,34,56.5,152.33,18.42,4.19,,Img0065,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,35,44.1,141.2,16.29,3.47,,Img0066,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,36,28,118.09,15.59,2.62,,Img0067,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,37,11.6,89.04,12.16,1.64,,Img0068,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,38,25.8,118,14.7,2.59,,Img0069,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,39,31.2,123.85,15.66,3.33,,Img0070,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,40,50.8,140.17,18.42,3.3,,Img0071,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,41,42.2,146.18,17.13,3.63,,Img0072,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,42,41.2,139.03,16.47,3.67,,Img0073,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,43,41.2,138.75,16.49,3.08,,Img0074,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,44,45.2,148.53,16.73,3.34,,Img0075,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,45,49,150.11,17.63,3.28,,Img0076,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,46,26.4,117.87,14.59,2.85,,Img0077,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,47,43.6,141.32,16.87,3.76,,Img0078,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,48,36.7,136.85,16.49,2.95,,Img0081,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,49,47.5,153.16,17.21,3.41,,Img0080,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,50,60.2,158.91,18.59,2.96,,Img0082,
Salvelinus,fontinalis,,ST-TXD LMH 2/24/2025,51,36.7,128.15,16.42,2.34,,Img0083,
,,,,,,,,,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,1,45.7,148.88,16.68,2.84,,Img0084,L105 to L115 is mislabeled ST-TXD when it is ST-ASN
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,2,43.8,138.61,17.74,3.3,,Img0085,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,3,36.4,134.99,16.54,3.29,,Img0086,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,4,21.7,112.04,14.44,2.7,,Img0087,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,5,24.7,115.6,14.09,2.55,,Img0088,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,6,44.9,138.59,18.75,2.84,,Img0089,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,7,40.4,141.05,16.51,2.75,,Img0090,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,8,35.3,140.18,16.19,3.05,,Img0091,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,9,44.9,142.91,16.28,3.28,,Img0092,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,10,37.1,140.01,14.92,2.54,,Img0093,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,11,19.4,104.17,14.84,1.98,,Img0094,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,12,52.2,153.9,18.24,3.41,,Img0095,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,13,11.5,89.18,12.24,1.86,,,
Salvelinus,fontinalis,,ST-ASN LMH 2/24/2025,14,42.4,146.69,18.15,2.88,,,
